CellName;Cell_ID;BSC;BSC_ID;Latitude_Sector;Longitude_Sector;CoverageType;Sector;SiteID;Market;Azimuth;HorizBeamwidth;VertBeamwidth;Technology;LAC;SAC;eNodeBID;Downtilt;Electrical_DownTilt;mcc;mnc;RF_Solution;expected_cell_range;antenna_id
MED_0015_C04_409_u5;60165;SO1RNC2;511;33.758482;11.013539;outdoor;2;6016;;250;;;3G;55601;10165;;;;605;1;;2357;1
MED_0013_C03_409_u5;60145;SO1RNC2;511;33.86416667;10.96185833;outdoor;2;6014;;220;;;3G;55601;10145;;;;605;1;;1351;1
MED_0133_MIM_218_q5;62314;SO1RNC2;511;33.817346;10.971105;outdoor;5;6134;;10;;;3G;55601;12314;;;;605;1;;765;1
MED_0107_C02_214_q4;62254;SO1RNC2;511;33.336433;10.469236;outdoor;4;6108;;325;;;3G;55602;12254;;;;605;1;;3289;1
MED_0030_C02_409_u4;60314;SO1RNC2;511;33.49561111;11.07375;outdoor;1;6031;;120;;;3G;55603;10314;;;;605;1;;768;1
MED_0107_C02_214_u6;61086;SO1RNC2;511;33.336433;10.469236;outdoor;3;6108;;245;;;3G;55602;11086;;;;605;1;;4745;1
MED_0031_C02_409_u6;60326;SO1RNC2;511;33.48141667;11.07719167;outdoor;3;6032;;320;;;3G;55603;10326;;;;605;1;;2043;1
MED_0019_C01_409_u5;60205;SO1RNC2;511;33.68869444;10.91427778;outdoor;2;6020;;150;;;3G;55601;10205;;;;605;1;;5814;1
MED_0069_C01_110_u6;60706;SO1RNC2;511;33.35222222;10.50355556;outdoor;3;6070;;280;;;3G;55602;10706;;;;605;1;;829;1
MED_0069_C01_110_u5;60705;SO1RNC2;511;33.35222222;10.50355556;outdoor;2;6070;;150;;;3G;55602;10705;;;;605;1;;220;1
MED_0069_C01_110_u4;60704;SO1RNC2;511;33.35222222;10.50355556;outdoor;1;6070;;30;;;3G;55602;10704;;;;605;1;;1829;1
MED_0070_C02_110_u5;60715;SO1RNC2;511;33.11711111;11.20441667;outdoor;2;6071;;180;;;3G;55602;10715;;;;605;1;;1438;1
MED_0034_C02_409_u5;60355;SO1RNC2;511;33.616556;11.032278;outdoor;2;6035;;200;;;3G;55603;10355;;;;605;1;;1768;1
MED_0038_C01_409_u6;60396;SO1RNC2;511;33.59106;11.07253;outdoor;3;6039;;320;;;3G;55603;10396;;;;605;1;;3579;1
MED_0107_C02_214_u5;61085;SO1RNC2;511;33.336433;10.469236;outdoor;2;6108;;140;;;3G;55602;11085;;;;605;1;;1278;1
MED_0059_C02_110_u5;60605;SO1RNC2;511;33.13686111;11.21722222;outdoor;2;6060;;150;;;3G;55602;10605;;;;605;1;;477;1
MED_0107_C02_214_u4;61084;SO1RNC2;511;33.336433;10.469236;outdoor;1;6108;;70;;;3G;55602;11084;;;;605;1;;680;1
MED_0004_C04_409_u5;60055;SO1RNC2;511;33.87233056;10.85951944;outdoor;2;6005;;200;;;3G;55601;10055;;;;605;1;;249;1
MED_0028_C02_409_u5;60295;SO1RNC2;511;33.51936111;11.10913889;outdoor;2;6029;;140;;;3G;55603;10295;;;;605;1;;451;1
MED_0077_C03_110_u6;60786;SO1RNC2;511;33.14733056;11.20155;outdoor;3;6078;;300;;;3G;55602;10786;;;;605;1;;2142;1
MED_0075_C01_110_u4;60764;SO1RNC2;511;33.15396944;11.21901111;outdoor;1;6076;;70;;;3G;55602;10764;;;;605;1;;767;1
MED_0027_C03_409_u5;60285;SO1RNC2;511;33.50919444;11.06008333;outdoor;2;6028;;190;;;3G;55603;10285;;;;605;1;;3028;1
MED_0026_C06_409_u4;60274;SO1RNC2;511;33.54591667;11.10169444;outdoor;1;6027;;30;;;3G;55603;10274;;;;605;1;;561;1
MED_0004_C04_409_u4;60054;SO1RNC2;511;33.87233056;10.85951944;outdoor;1;6005;;100;;;3G;55601;10054;;;;605;1;;252;1
MED_0042_C01_409_u6;60436;SO1RNC2;511;33.88330556;10.85822222;outdoor;3;6043;;340;;;3G;55601;10436;;;;605;1;;771;1
MED_0067_C04_110_u6;60686;SO1RNC2;511;33.35019444;10.48438889;outdoor;3;6068;;330;;;3G;55602;10686;;;;605;1;;490;1
MED_0040_C03_409_u1;60411;SO1RNC2;511;33.50715;10.4801;outdoor;1;6041;;20;;;3G;55602;10411;;;;605;1;;5227;1
MED_0040_C03_409_u2;60412;SO1RNC2;511;33.50715;10.4801;outdoor;2;6041;;170;;;3G;55602;10412;;;;605;1;;216;1
MED_0040_C03_409_u5;60415;SO1RNC2;511;33.50715;10.4801;outdoor;2;6041;;170;;;3G;55602;10415;;;;605;1;;156;1
MED_0081_C01_110_u5;60825;SO1RNC2;511;33.169;11.19716667;outdoor;2;6082;;240;;;3G;55602;10825;;;;605;1;;4589;1
MED_0064_C01_110_s5;62455;SO1RNC2;511;33.32863889;10.48513889;outdoor;2;6065;;130;;;3G;55602;12455;;;;605;1;;2699;1
MED_0003_C01_409_u4;60044;SO1RNC2;511;33.87444444;10.87586111;outdoor;1;6004;;60;;;3G;55601;10044;;;;605;1;;585;1
MED_0062_C03_110_u4;60634;SO1RNC2;511;33.34302778;10.50655556;outdoor;1;6063;;60;;;3G;55602;10634;;;;605;1;;2525;1
MED_0038_C01_409_u5;60395;SO1RNC2;511;33.59106;11.07253;outdoor;2;6039;;140;;;3G;55603;10395;;;;605;1;;1260;1
MED_0010_C01_409_u6;60116;SO1RNC2;511;33.85733333;10.98002778;outdoor;3;6011;;335;;;3G;55601;10116;;;;605;1;;544;1
MED_0010_C01_409_u4;60114;SO1RNC2;511;33.85733333;10.98002778;outdoor;1;6011;;130;;;3G;55601;10114;;;;605;1;;853;1
MED_0054_C01_110_q4;62444;SO1RNC2;511;33.36663889;10.62355556;outdoor;4;6055;;190;;;3G;55602;12444;;;;605;1;;4640;1
MED_0059_C02_110_u6;60606;SO1RNC2;511;33.13686111;11.21722222;outdoor;3;6060;;280;;;3G;55602;10606;;;;605;1;;779;1
MED_0067_C04_110_u4;60684;SO1RNC2;511;33.35019444;10.48438889;outdoor;1;6068;;60;;;3G;55602;10684;;;;605;1;;536;1
MED_0013_C03_409_u6;60146;SO1RNC2;511;33.86416667;10.96185833;outdoor;3;6014;;320;;;3G;55601;10146;;;;605;1;;1233;1
MED_0042_C01_409_u5;60435;SO1RNC2;511;33.88330556;10.85822222;outdoor;2;6043;;190;;;3G;55601;10435;;;;605;1;;360;1
MED_0061_C01_110_u6;60626;SO1RNC2;511;33.33816667;10.49194444;outdoor;3;6062;;310;;;3G;55602;10626;;;;605;1;;860;1
MED_0027_C03_409_u6;60286;SO1RNC2;511;33.50919444;11.06008333;outdoor;3;6028;;300;;;3G;55603;10286;;;;605;1;;2942;1
MED_0019_C01_409_u4;60204;SO1RNC2;511;33.68869444;10.91427778;outdoor;1;6020;;20;;;3G;55601;10204;;;;605;1;;3651;1
MED_0061_C01_110_u5;60625;SO1RNC2;511;33.33816667;10.49194444;outdoor;2;6062;;170;;;3G;55602;10625;;;;605;1;;445;1
MED_0038_C01_409_u4;60394;SO1RNC2;511;33.59106;11.07253;outdoor;1;6039;;60;;;3G;55603;10394;;;;605;1;;674;1
MED_0041_C01_409_u4;60424;SO1RNC2;511;33.82838889;10.98160833;outdoor;1;6042;;70;;;3G;55601;10424;;;;605;1;;502;1
MED_0047_C01_409_q4;60014;SO1RNC2;511;33.80677778;10.98802778;outdoor;4;6048;;130;;;3G;55601;10014;;;;605;1;;423;1
GAB_0072_C02_416_u4;58234;SO1RNC2;511;33.8763;9.9949138;outdoor;1;5823;;60;;;3G;55701;8234;;;;605;1;;2804;1
MED_0081_C01_110_u6;60826;SO1RNC2;511;33.169;11.19716667;outdoor;3;6082;;330;;;3G;55602;10826;;;;605;1;;5183;1
MED_0081_C01_110_q4;62244;SO1RNC2;511;33.169;11.19716667;outdoor;4;6082;;30;;;3G;55602;12244;;;;605;1;;2929;1
SFA_0024_C02_309_q4;47034;SO1RNC2;511;34.79255556;10.79388889;outdoor;4;4525;;310;;;3G;55306;62034;;;;605;1;;-;1
MED_0064_C01_110_s4;62454;SO1RNC2;511;33.32863889;10.48513889;outdoor;1;6065;;20;;;3G;55602;12454;;;;605;1;;1036;1
MED_0079_C01_110_u6;60806;SO1RNC2;511;33.82980556;11.00111111;outdoor;3;6080;;170;;;3G;55601;10806;;;;605;1;;1325;1
MED_0010_C01_409_u5;60115;SO1RNC2;511;33.85733333;10.98002778;outdoor;2;6011;;240;;;3G;55601;10115;;;;605;1;;1333;1
MED_0053_C01_110_u6;60546;SO1RNC2;511;33.39625;10.793;outdoor;3;6054;;260;;;3G;55602;10546;;;;605;1;;6825;1
MED_0076_C01_110_q4;62234;SO1RNC2;511;33.14286111;11.18233056;outdoor;4;6077;;265;;;3G;55602;12234;;;;605;1;;2144;1
MED_0053_C01_110_u2;60542;SO1RNC2;511;33.39625;10.793;outdoor;2;6054;;150;;;3G;55602;10542;;;;605;1;;6308;1
MED_0053_C01_110_u3;60543;SO1RNC2;511;33.39625;10.793;outdoor;3;6054;;260;;;3G;55602;10543;;;;605;1;;7707;1
GAB_0072_C02_416_u5;58235;SO1RNC2;511;33.8763;9.9949138;outdoor;2;5823;;140;;;3G;55701;8235;;;;605;1;;5239;1
MED_0071_C03_110_u5;60725;SO1RNC2;511;33.12341667;11.23633333;outdoor;2;6072;;150;;;3G;55602;10725;;;;605;1;;1698;1
MED_0009_C01_409_u6;60106;SO1RNC2;511;33.84941667;10.98591667;outdoor;3;6010;;350;;;3G;55601;10106;;;;605;1;;757;1
