CellName;Cell_ID;Longitude_Sector;Latitude_Sector;CoverageType;SiteID;Azimuth;HorizBeamwidth;VertBeamwidth;Technology;LAC;eNodeBID;mcc;mnc;Downtilt;Electrical_DownTilt;BSC_ID;RF_Solution;expected_cell_range;Antenna_id
MED_0004_C04_409_j1;104;10.85951944;33.87233056;outdoor;6005;100;;;4G;55601;6005;605;1;;;;macro;586;1
MED_0004_C04_409_j2;105;10.85951944;33.87233056;outdoor;6005;200;;;4G;55601;6005;605;1;;;;macro;715;1
MED_0004_C04_409_j3;106;10.85951944;33.87233056;outdoor;6005;340;;;4G;55601;6005;605;1;;;;macro;700;1
MED_0009_C01_409_l1;7;10.98591667;33.84941667;outdoor;6010;120;;;4G;55601;6010;605;1;;;;macro;769;1
MED_0009_C01_409_l2;8;10.98591667;33.84941667;outdoor;6010;220;;;4G;55601;6010;605;1;;;;macro;435;1
MED_0009_C01_409_l3;9;10.98591667;33.84941667;outdoor;6010;350;;;4G;55601;6010;605;1;;;;macro;1140;1
MED_0009_C01_409_l4;17;10.98591667;33.84941667;outdoor;6010;45;;;4G;55601;6010;605;1;;;;macro;1421;1
MED_0010_C01_409_l1;7;10.98002778;33.85733333;outdoor;6011;130;;;4G;55601;6011;605;1;;;;macro;973;1
MED_0010_C01_409_l2;8;10.98002778;33.85733333;outdoor;6011;240;;;4G;55601;6011;605;1;;;;macro;1343;1
MED_0010_C01_409_l3;9;10.98002778;33.85733333;outdoor;6011;335;;;4G;55601;6011;605;1;;;;macro;692;1
MED_0013_C03_409_h1;4;10.96185833;33.86416667;outdoor;6014;80;;;4G;55601;6014;605;1;;;;macro;301;1
MED_0013_C03_409_h2;5;10.96185833;33.86416667;outdoor;6014;220;;;4G;55601;6014;605;1;;;;macro;1077;1
MED_0013_C03_409_h3;6;10.96185833;33.86416667;outdoor;6014;320;;;4G;55601;6014;605;1;;;;macro;967;1
MED_0015_C04_409_l1;7;11.013539;33.758482;outdoor;6016;60;;;4G;55601;6016;605;1;;;;macro;2649;1
MED_0015_C04_409_l2;8;11.013539;33.758482;outdoor;6016;250;;;4G;55601;6016;605;1;;;;macro;2806;1
MED_0015_C04_409_l3;9;11.013539;33.758482;outdoor;6016;340;;;4G;55601;6016;605;1;;;;macro;2150;1
MED_0023_C03_409_l1;7;11.02763889;33.82611111;outdoor;6024;50;;;4G;55601;6024;605;1;;;;macro;848;1
MED_0023_C03_409_l2;8;11.02763889;33.82611111;outdoor;6024;170;;;4G;55601;6024;605;1;;;;macro;1239;1
MED_0023_C03_409_l3;9;11.02763889;33.82611111;outdoor;6024;290;;;4G;55601;6024;605;1;;;;macro;1899;1
MED_0024_C05_409_l1;7;10.86413056;33.87904722;outdoor;6025;150;;;4G;55601;6025;605;1;;;;macro;1076;1
MED_0024_C05_409_l2;8;10.86413056;33.87904722;outdoor;6025;240;;;4G;55601;6025;605;1;;;;macro;430;1
MED_0024_C05_409_l3;9;10.86413056;33.87904722;outdoor;6025;350;;;4G;55601;6025;605;1;;;;macro;603;1
MED_0028_C02_409_j2;105;11.10913889;33.51936111;outdoor;6029;140;;;4G;55603;6029;605;1;;;;macro;1177;1
MED_0028_C02_409_j3;106;11.10913889;33.51936111;outdoor;6029;220;;;4G;55603;6029;605;1;;;;macro;1003;1
MED_0029_C05_409_l1;7;11.09175;33.49963889;outdoor;6030;50;;;4G;55603;6030;605;1;;;;macro;866;1
MED_0029_C05_409_l2;8;11.09175;33.49963889;outdoor;6030;170;;;4G;55603;6030;605;1;;;;macro;818;1
MED_0029_C05_409_l3;9;11.09175;33.49963889;outdoor;6030;270;;;4G;55603;6030;605;1;;;;macro;719;1
MED_0030_C02_409_l1;7;11.07375;33.49561111;outdoor;6031;120;;;4G;55603;6031;605;1;;;;macro;1241;1
MED_0030_C02_409_j2;105;11.07375;33.49561111;outdoor;6031;240;;;4G;55603;6031;605;1;;;;macro;3307;1
MED_0030_C02_409_l3;9;11.07375;33.49561111;outdoor;6031;350;;;4G;55603;6031;605;1;;;;macro;998;1
MED_0031_C02_409_l1;7;11.07719167;33.48141667;outdoor;6032;60;;;4G;55603;6032;605;1;;;;macro;1288;1
MED_0031_C02_409_l2;8;11.07719167;33.48141667;outdoor;6032;180;;;4G;55603;6032;605;1;;;;macro;-;1
MED_0031_C02_409_f3;3;11.07719167;33.48141667;outdoor;6032;320;;;4G;55603;6032;605;1;;;;macro;2313;1
MED_0033_C06_409_l1;7;11.097856;33.563909;outdoor;6034;150;;;4G;55603;6034;605;1;;;;macro;1187;1
MED_0033_C06_409_l2;8;11.097856;33.563909;outdoor;6034;240;;;4G;55603;6034;605;1;;;;macro;1312;1
MED_0033_C06_409_j3;106;11.097856;33.563909;outdoor;6034;330;;;4G;55603;6034;605;1;;;;macro;3287;1
